threshold	dataset	broad_state	contrast	case_group	control_group	retained_case	retained_control	mean_shift_estimate	source_file	source_sha256	notes
0	GSE250130	Glandular_Epi	RIF glandular epithelium	RIF	Fertile_LH7	10	6	1.09123334978527	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.45	GSE250130	Glandular_Epi	RIF glandular epithelium	RIF	Fertile_LH7	10	6	1.09123334978527	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.5	GSE250130	Glandular_Epi	RIF glandular epithelium	RIF	Fertile_LH7	10	6	1.09123334978527	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.55	GSE250130	Glandular_Epi	RIF glandular epithelium	RIF	Fertile_LH7	10	5	1.11044490552474	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0	GSE179640	Stroma	GSE179640 eutopic stroma	Endo_Eutopic	Control_Eutopic	9	3	-1.68708998649936	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.45	GSE179640	Stroma	GSE179640 eutopic stroma	Endo_Eutopic	Control_Eutopic	9	3	-1.68708998649936	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.5	GSE179640	Stroma	GSE179640 eutopic stroma	Endo_Eutopic	Control_Eutopic	9	3	-1.68708998649936	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.55	GSE179640	Stroma	GSE179640 eutopic stroma	Endo_Eutopic	Control_Eutopic	8	3	-1.68353602653599	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0	GSE213216	Decidual_Stroma	GSE213216 lesion decidual stroma	Lesion	Eutopic	28	9	0.594018126484929	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.45	GSE213216	Decidual_Stroma	GSE213216 lesion decidual stroma	Lesion	Eutopic	22	8	0.666449962539123	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.5	GSE213216	Decidual_Stroma	GSE213216 lesion decidual stroma	Lesion	Eutopic	19	6	1.0466188340659	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.55	GSE213216	Decidual_Stroma	GSE213216 lesion decidual stroma	Lesion	Eutopic	6	4	0.639466550181095	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0	GSE214411	Endothelial	GSE214411 endothelial	endometriosis	Control	6	7	2.34381387412162	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.45	GSE214411	Endothelial	GSE214411 endothelial	endometriosis	Control	6	7	2.34381387412162	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.5	GSE214411	Endothelial	GSE214411 endothelial	endometriosis	Control	6	7	2.34381387412162	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
0.55	GSE214411	Endothelial	GSE214411 endothelial	endometriosis	Control	6	7	2.34381387412162	source_data/heca/S22_threshold_retention.tsv	c23804aa87db3f7a814813bc4ec8f5b128c9d34b775525a257cd5b03bdadd72d	Threshold-specific confidence intervals were not calculated in the historical implementation.
