"Package","Version","Used_by_source_table_rebuild"
"edgeR","4.8.2",FALSE
"limma","3.66.0",FALSE
"lme4","2.0-1",FALSE
"lmerTest","3.2-1",FALSE
"ggplot2","4.0.3",TRUE
"dplyr","1.2.1",TRUE
"tidyr","1.3.2",TRUE
"readr","2.2.0",TRUE
"openxlsx","4.2.8.1",FALSE
"ComplexHeatmap","2.26.1",FALSE
"pheatmap","1.0.13",FALSE
"clusterProfiler","4.18.4",FALSE
"fgsea","1.34.2",FALSE
"patchwork","1.3.2",TRUE
"cowplot","1.2.0",FALSE
"png","0.1-9",FALSE
"Matrix","1.7-5",FALSE
"Seurat","5.5.0",FALSE
"nlme","3.1-169",FALSE
"WGCNA","1.74",FALSE
