accession	source_type	included_raw_data
GSE250130	public accession reference	NO
GSE111974	public accession reference	NO
GSE58144	public accession reference	NO
GSE287278	public accession reference	NO
GSE179640	public accession reference	NO
GSE213216	public accession reference	NO
GSE214411	public accession reference	NO
GSE135485	public accession reference	NO
GSE263897	public accession reference	NO
GSE244236	public accession reference	NO
GSE190580	public accession reference	NO
GSE157718	public accession reference	NO
GSE78851	public accession reference	NO
E-MTAB-14039	public accession reference	NO
GSE234368	public accession reference	NO
GSE98386	public accession reference	NO
GSE180485	public accession reference	NO
GSE144895	public accession reference	NO
