context,celltype_display,mean_pred_day
GSE250130 | Fertile LH7,Decidual stroma,6.691800115301891
GSE250130 | Fertile LH7,Endothelial,6.8390322189783115
GSE250130 | Fertile LH7,Glandular epithelium,6.4152543168832885
GSE250130 | Fertile LH7,Luminal epithelium,7.328752987863209
GSE250130 | Fertile LH7,Lymphoid,7.4807467263987135
GSE250130 | Fertile LH7,Myeloid,7.119212821624053
GSE250130 | Fertile LH7,Stroma,7.3456273100848986
GSE250130 | LH11,Decidual stroma,10.98300804657303
GSE250130 | LH11,Endothelial,10.357986855580153
GSE250130 | LH11,Glandular epithelium,10.44665572320155
GSE250130 | LH11,Luminal epithelium,9.491147733067276
GSE250130 | LH11,Lymphoid,10.039984592402734
GSE250130 | LH11,Myeloid,11.00756833256184
GSE250130 | LH11,Stroma,9.25236452317424
GSE250130 | LH3,Decidual stroma,3.8858663597760104
GSE250130 | LH3,Endothelial,4.668255169711017
GSE250130 | LH3,Glandular epithelium,5.17593024635392
GSE250130 | LH3,Luminal epithelium,5.20582386620017
GSE250130 | LH3,Lymphoid,3.64695213018156
GSE250130 | LH3,Myeloid,3.3658360742542466
GSE250130 | LH3,Stroma,5.459304451177707
GSE250130 | LH5,Decidual stroma,5.21321759868356
GSE250130 | LH5,Endothelial,5.66705031038453
GSE250130 | LH5,Glandular epithelium,4.746756965971134
GSE250130 | LH5,Luminal epithelium,5.115196832895503
GSE250130 | LH5,Lymphoid,4.4636573757805404
GSE250130 | LH5,Myeloid,5.1549470251323735
GSE250130 | LH5,Stroma,5.111294572120387
GSE250130 | LH9,Decidual stroma,8.534307764363627
GSE250130 | LH9,Endothelial,7.628643226367673
GSE250130 | LH9,Glandular epithelium,8.800148430706813
GSE250130 | LH9,Luminal epithelium,7.530325592110627
GSE250130 | LH9,Lymphoid,8.887912448837719
GSE250130 | LH9,Myeloid,8.233222924803421
GSE250130 | LH9,Stroma,7.485781833357863
GSE250130 | RIF,Decidual stroma,6.676471153013751
GSE250130 | RIF,Endothelial,6.877459310156407
GSE250130 | RIF,Glandular epithelium,7.506487666668561
GSE250130 | RIF,Luminal epithelium,7.018822379193865
GSE250130 | RIF,Lymphoid,7.429471939792338
GSE250130 | RIF,Myeloid,7.012834257231555
GSE250130 | RIF,Stroma,7.042615011040228
GSE179640 | Control eutopic,Decidual stroma,6.953696775049343
GSE179640 | Control eutopic,Endothelial,8.20007679539931
GSE179640 | Control eutopic,Glandular epithelium,7.363616145498103
GSE179640 | Control eutopic,Luminal epithelium,7.308307502038811
GSE179640 | Control eutopic,Lymphoid,8.169126648878263
GSE179640 | Control eutopic,Myeloid,7.418068548418153
GSE179640 | Control eutopic,Stroma,7.3992432700472
GSE179640 | Ectopic,Decidual stroma,7.0856290433286615
GSE179640 | Ectopic,Endothelial,6.933852033782719
GSE179640 | Ectopic,Glandular epithelium,7.4711867700786065
GSE179640 | Ectopic,Luminal epithelium,7.212918169324824
GSE179640 | Ectopic,Lymphoid,7.07328027661744
GSE179640 | Ectopic,Myeloid,7.39948815794539
GSE179640 | Ectopic,Stroma,7.219279233791206
GSE179640 | Ectopic adjacent,Decidual stroma,7.182108432330821
GSE179640 | Ectopic adjacent,Endothelial,6.928071532435357
GSE179640 | Ectopic adjacent,Glandular epithelium,7.051561493551647
GSE179640 | Ectopic adjacent,Luminal epithelium,6.7069605770439145
GSE179640 | Ectopic adjacent,Lymphoid,7.36950705486499
GSE179640 | Ectopic adjacent,Myeloid,7.431555571352744
GSE179640 | Ectopic adjacent,Stroma,7.483422397058119
GSE179640 | Ectopic_Ovary,Decidual stroma,7.321695338359994
GSE179640 | Ectopic_Ovary,Endothelial,6.81102248285584
GSE179640 | Ectopic_Ovary,Glandular epithelium,7.57032014041142
GSE179640 | Ectopic_Ovary,Luminal epithelium,7.093907118215905
GSE179640 | Ectopic_Ovary,Lymphoid,6.897043623704017
GSE179640 | Ectopic_Ovary,Myeloid,6.977759993099893
GSE179640 | Ectopic_Ovary,Stroma,7.6350757575956845
GSE179640 | Endometriosis eutopic,Decidual stroma,6.020623930290594
GSE179640 | Endometriosis eutopic,Endothelial,7.322582642553842
GSE179640 | Endometriosis eutopic,Glandular epithelium,6.572735696580799
GSE179640 | Endometriosis eutopic,Luminal epithelium,6.546349900469524
GSE179640 | Endometriosis eutopic,Lymphoid,7.251936377035298
GSE179640 | Endometriosis eutopic,Myeloid,6.7562717752947385
GSE179640 | Endometriosis eutopic,Stroma,5.712153283547841
GSE179640 | Mix,Decidual stroma,7.94685151104254
GSE179640 | Mix,Endothelial,3.9204446716069903
GSE179640 | Mix,Glandular epithelium,8.156072022868084
GSE179640 | Mix,Luminal epithelium,8.676032853122251
GSE179640 | Mix,Lymphoid,5.26293007218048
GSE179640 | Mix,Myeloid,4.481387515230715
GSE179640 | Mix,Stroma,8.608322651105624
GSE213216 | Eutopic,Decidual stroma,6.506341431211606
