gene,rho,p,padj,rank_positive,rank_negative,in_80_gene,in_dynamic,direction
GPX3,0.8651809126974,3.56431090822371e-6,8.5152675902612e-4,14,12,TRUE,TRUE,late-like
IGFBP1,0.841472997696227,1.20426148922435e-5,0.00152097459043501,32,11,TRUE,TRUE,late-like
CXCL14,0.823830354369951,2.64096865717607e-5,0.00214621997963709,59,10,FALSE,TRUE,late-like
PAEP,0.699778679387603,0.00122546757722151,0.0161139234673245,616,9,FALSE,TRUE,late-like
DPP4,0.674332181955327,0.00214599619813779,0.022139936843327,825,8,FALSE,TRUE,late-like
SPP1,0.667970557597258,0.0024487113917738,0.0237784026383363,891,7,FALSE,TRUE,late-like
IL15,0.337166090977663,0.171235873948978,0.340497006070426,5045,6,FALSE,FALSE,late-like
LEFTY2,0.289453908292145,0.244003604450245,0.42486366988443097,5707,5,FALSE,FALSE,late-like
PRL,0.254464974322765,0.308203920349177,0.493210841465889,6175,4,FALSE,FALSE,late-like
MUC1,-0.117690050624279,0.641865467758828,0.771787663585581,11373,3,FALSE,FALSE,early-like
HOXA10,-0.343527715335732,0.162792364365824,0.329254364852093,15025,2,FALSE,FALSE,early-like
HOXA11,-0.36261258840994,0.139175344457912,0.296233137103471,15298,1,FALSE,FALSE,early-like
