"sample","celltype","receptivity_score","group","pred_day","timing_state"
"GSM6574509","Decidual_Stroma",-0.470196582713677,"Lesion",5.14347292969262,"Delayed"
"GSM6574510","Decidual_Stroma",0.120542468284896,"Lesion",7.33078252141941,"In-phase"
"GSM6574511","Decidual_Stroma",0.0648536438945723,"Lesion",7.12458538660152,"In-phase"
"GSM6574512","Decidual_Stroma",-0.449097389641228,"Eutopic",5.22159620139279,"Delayed"
"GSM6574513","Decidual_Stroma",-0.499041642983309,"Ovary",5.03666929635392,"Delayed"
"GSM6574514","Decidual_Stroma",-0.091604080823551,"Lesion",6.54527463780776,"In-phase"
"GSM6574515","Decidual_Stroma",0.102279488738936,"Lesion",7.26316080203779,"In-phase"
"GSM6574516","Decidual_Stroma",-0.0478638434457344,"Lesion",6.7072301418483,"In-phase"
"GSM6574517","Decidual_Stroma",0.322341176597576,"Lesion",8.0779758033673,"In-phase"
"GSM6574518","Decidual_Stroma",0.191446766503674,"No_endo_detected",7.59331747881969,"In-phase"
"GSM6574519","Decidual_Stroma",0.322254680803895,"Lesion",8.07765553830467,"In-phase"
"GSM6574520","Decidual_Stroma",0.266357418877287,"Lesion",7.87068662884006,"In-phase"
"GSM6574521","Decidual_Stroma",0.734875287181494,"No_endo_detected",9.60545196305132,"Advanced"
"GSM6574522","Decidual_Stroma",0.178984579267114,"Lesion",7.54717415778759,"In-phase"
"GSM6574523","Decidual_Stroma",0.187374133763827,"Lesion",7.57823787871472,"In-phase"
"GSM6574524","Decidual_Stroma",0.0635423466804994,"Lesion",7.11973009056328,"In-phase"
"GSM6574525","Decidual_Stroma",0.282788663590803,"Lesion",7.93152604533898,"In-phase"
"GSM6574526","Decidual_Stroma",0.649681194923813,"Lesion",9.2900066664543,"Advanced"
"GSM6574527","Decidual_Stroma",0.377087876235749,"Lesion",8.28068456459027,"In-phase"
"GSM6574528","Decidual_Stroma",-0.22766238768977,"Eutopic",6.04149612656912,"Delayed"
"GSM6574529","Decidual_Stroma",-0.0637427834623734,"No_endo_detected",6.64843572535232,"In-phase"
"GSM6574530","Decidual_Stroma",-0.0429376780186067,"Lesion",6.72547008869281,"In-phase"
"GSM6574531","Decidual_Stroma",0.264419247826962,"No_endo_detected",7.86351022815753,"In-phase"
"GSM6574532","Decidual_Stroma",0.130175983794068,"Lesion",7.36645221489852,"In-phase"
"GSM6574533","Decidual_Stroma",0.163107020654818,"Lesion",7.48838485617095,"In-phase"
"GSM6574534","Decidual_Stroma",0.922792506283606,"Eutopic",10.3012467223412,"Advanced"
"GSM6574535","Decidual_Stroma",0.134700019408914,"Eutopic",7.38320320922832,"In-phase"
"GSM6574536","Decidual_Stroma",-0.239565194073655,"Eutopic",5.99742400618376,"Delayed"
"GSM6574537","Decidual_Stroma",-0.329873151081945,"Lesion",5.66304377477773,"Delayed"
"GSM6574538","Decidual_Stroma",-0.564980030393707,"Ovary",4.79252144968294,"Delayed"
"GSM6574539","Decidual_Stroma",-0.212008986029927,"Eutopic",6.09945544978611,"Delayed"
"GSM6574540","Decidual_Stroma",-0.438367575949929,"Ovary",5.26132512123438,"Delayed"
"GSM6574541","Decidual_Stroma",-0.106248411449908,"Lesion",6.49105156792723,"Delayed"
"GSM6574542","Decidual_Stroma",-0.408342346255872,"Eutopic",5.37249852816016,"Delayed"
"GSM6574543","Decidual_Stroma",-0.545095730087126,"Eutopic",4.86614637884894,"Delayed"
"GSM6574544","Decidual_Stroma",0.105208582370573,"Eutopic",7.27400625839405,"In-phase"
"GSM6574545","Decidual_Stroma",-0.338241793093751,"Ovary",5.63205748580427,"Delayed"
"GSM6574546","Decidual_Stroma",-0.125211017744244,"Lesion",6.42083936414347,"Delayed"
"GSM6574547","Decidual_Stroma",-0.128741958752835,"Lesion",6.40776546777102,"Delayed"
"GSM6574548","Decidual_Stroma",-0.0176359336802723,"Lesion",6.81915400544947,"In-phase"
"GSM6574549","Decidual_Stroma",0.0223488134050516,"Lesion",6.96720418204548,"In-phase"
"GSM6574550","Decidual_Stroma",-0.0634198798683174,"Lesion",6.64963132961665,"In-phase"
"GSM6574551","Decidual_Stroma",-0.115889395710458,"Lesion",6.4553542201539,"Delayed"
"GSM6574552","Decidual_Stroma",0.0370140815683623,"Lesion",7.02150477663903,"In-phase"
"GSM6574553","Decidual_Stroma",-0.118408187706282,"Lesion",6.44602797384816,"Delayed"
"GSM6574509","Endothelial",-0.189935879731987,"Lesion",5.96047045176496,"Delayed"
"GSM6574510","Endothelial",-0.17156520717084,"Lesion",6.0567812335157,"Delayed"
"GSM6574511","Endothelial",0.218792879926007,"Lesion",8.10328728308358,"In-phase"
"GSM6574512","Endothelial",-0.00773916300815627,"Eutopic",6.91566183965138,"In-phase"
"GSM6574513","Endothelial",-0.263735233333358,"Ovary",5.57356717348874,"Delayed"
"GSM6574514","Endothelial",-0.282833366450094,"Lesion",5.4734425795562,"Delayed"
"GSM6574515","Endothelial",0.108586900374762,"Lesion",7.52551725268013,"In-phase"
"GSM6574516","Endothelial",0.0603007069353618,"Lesion",7.2723702313919,"In-phase"
"GSM6574517","Endothelial",0.308799202644538,"Lesion",8.57515782972128,"Advanced"
"GSM6574518","Endothelial",0.320687533552174,"No_endo_detected",8.63748404230902,"Advanced"
"GSM6574519","Endothelial",0.24432342727253,"Lesion",8.23713469478195,"In-phase"
"GSM6574520","Endothelial",0.289848620401129,"Lesion",8.47580679156961,"In-phase"
"GSM6574521","Endothelial",0.230973605206161,"No_endo_detected",8.16714641345117,"In-phase"
"GSM6574522","Endothelial",0.169415554371374,"Lesion",7.84441985136064,"In-phase"
"GSM6574523","Endothelial",-0.157618756850203,"Lesion",6.1298974206644,"Delayed"
"GSM6574524","Endothelial",0.103404638687745,"Lesion",7.49834853184794,"In-phase"
"GSM6574525","Endothelial",0.403528136072781,"Lesion",9.07178731361849,"Advanced"
"GSM6574526","Endothelial",0.561643625490311,"Lesion",9.90072954978403,"Advanced"
"GSM6574527","Endothelial",0.419910829224914,"Lesion",9.15767583944206,"Advanced"
"GSM6574528","Endothelial",0.0248329063902267,"Eutopic",7.08642540078698,"In-phase"
"GSM6574529","Endothelial",0.142589523093211,"No_endo_detected",7.70378068667738,"In-phase"
"GSM6574530","Endothelial",0.0226648633299307,"Lesion",7.07505913636136,"In-phase"
"GSM6574531","Endothelial",-0.0225490402661753,"No_endo_detected",6.83801901783283,"In-phase"
"GSM6574532","Endothelial",-0.249509541373549,"Lesion",5.64814732340072,"Delayed"
"GSM6574533","Endothelial",0.509233358922348,"Lesion",9.62596150696341,"Advanced"
"GSM6574534","Endothelial",0.465742587741962,"Eutopic",9.39795514751286,"Advanced"
"GSM6574535","Endothelial",0.0350326039173583,"Eutopic",7.13989872024163,"In-phase"
"GSM6574536","Endothelial",0.108049181113122,"Eutopic",7.5226981853717,"In-phase"
"GSM6574537","Endothelial",-0.0254395730950941,"Lesion",6.82286500126088,"In-phase"
"GSM6574538","Endothelial",-0.617878845091857,"Ovary",3.71692049999539,"Delayed"
"GSM6574539","Endothelial",0.548137382521199,"Eutopic",9.82992121032118,"Advanced"
"GSM6574540","Endothelial",-0.370646401019944,"Ovary",5.01307064819789,"Delayed"
"GSM6574541","Endothelial",0.110964531709284,"Lesion",7.53798231250746,"In-phase"
"GSM6574542","Endothelial",-0.139425586720853,"Eutopic",6.22527762146268,"Delayed"
"GSM6574543","Endothelial",0.00365784845854944,"Eutopic",6.97541224238307,"In-phase"
"GSM6574544","Endothelial",-0.486208635167834,"Eutopic",4.40721971516327,"Delayed"
"GSM6574545","Endothelial",-0.318168626500324,"Ovary",5.28819261075536,"Delayed"
"GSM6574546","Endothelial",-0.052047310670285,"Lesion",6.68337027138884,"In-phase"
"GSM6574547","Endothelial",-0.00723797260856272,"Lesion",6.91828939936811,"In-phase"
"GSM6574548","Endothelial",-0.199266087657224,"Lesion",5.9115555513341,"Delayed"
"GSM6574549","Endothelial",-0.296999249809644,"Lesion",5.39917598447065,"Delayed"
"GSM6574550","Endothelial",-0.317882735225157,"Lesion",5.28969143515143,"Delayed"
"GSM6574551","Endothelial",-0.504905672784505,"Lesion",4.30919791964703,"Delayed"
"GSM6574552","Endothelial",-0.534143973887329,"Lesion",4.15591209807989,"Delayed"
"GSM6574553","Endothelial",-0.195383588934012,"Lesion",5.93191008576577,"Delayed"
"GSM6574509","Glandular_Epi",-0.0995370108626742,"Lesion",6.87855337261438,"In-phase"
"GSM6574510","Glandular_Epi",0.204957964397822,"Lesion",7.80343057995907,"In-phase"
"GSM6574511","Glandular_Epi",-0.0823195277252391,"Lesion",6.93084999165722,"In-phase"
