"sample","celltype","receptivity_score","group","phase","pred_day","timing_state"
"GSM6605431","Decidual_Stroma",-0.618782563699824,"endometriosis","secretory",4.59330862134403,"Delayed"
"GSM6605432","Decidual_Stroma",0.130062271410271,"endometriosis","proliferative",7.36603117588416,"In-phase"
"GSM6605433","Decidual_Stroma",0.168703069253654,"endometriosis","proliferative",7.50910515687786,"In-phase"
"GSM6605434","Decidual_Stroma",0.223983332969751,"endometriosis","proliferative",7.71378952784506,"In-phase"
"GSM6605435","Decidual_Stroma",-0.460132414248075,"endometriosis","secretory",5.1807371873718,"Delayed"
"GSM6605436","Decidual_Stroma",0.0900933018625634,"endometriosis","secretory",7.21803941824539,"In-phase"
"GSM6605437","Decidual_Stroma",0.744714933319083,"Control","secretory",9.64188488946707,"Advanced"
"GSM6605438","Decidual_Stroma",0.0522238295791413,"Control","secretory",7.07782139842912,"In-phase"
"GSM6605439","Decidual_Stroma",0.237098682882626,"Control","proliferative",7.76235129232431,"In-phase"
"GSM6605440","Decidual_Stroma",0.12275317358637,"Control","proliferative",7.33896802549641,"In-phase"
"GSM7277296","Decidual_Stroma",-0.356572637239876,"Control",NA,5.56418448645288,"Delayed"
"GSM7277297","Decidual_Stroma",-0.127668815700779,"Control",NA,6.41173895841311,"Delayed"
"GSM7277298","Decidual_Stroma",-0.206476163974905,"Control",NA,6.11994164369831,"Delayed"
"GSM6605431","Endothelial",-0.0880073768255641,"endometriosis","secretory",6.49484467050541,"Delayed"
"GSM6605432","Endothelial",0.62737198462608,"endometriosis","proliferative",10.245319527668,"Advanced"
"GSM6605433","Endothelial",0.345152981770235,"endometriosis","proliferative",8.76574752509227,"Advanced"
"GSM6605434","Endothelial",0.54324513448167,"endometriosis","proliferative",9.80427292598988,"Advanced"
"GSM6605435","Endothelial",-0.425538381646307,"endometriosis","secretory",4.72529187753099,"Delayed"
"GSM6605436","Endothelial",0.442148144412682,"endometriosis","secretory",9.27425802785365,"Advanced"
"GSM6605437","Endothelial",1.23797278096306,"Control","secretory",13.4464783223226,"Advanced"
"GSM6605438","Endothelial",-0.502673276022528,"Control","secretory",4.32090156721944,"Delayed"
"GSM6605439","Endothelial",-0.0396547376105074,"Control","proliferative",6.74834004292647,"In-phase"
"GSM6605440","Endothelial",-0.0562530915594042,"Control","proliferative",6.6613208856652,"In-phase"
"GSM7277296","Endothelial",-0.485535437069256,"Control",NA,4.41074904893868,"Delayed"
"GSM7277297","Endothelial",-0.752700997617616,"Control",NA,3.01009679150827,"Delayed"
"GSM7277298","Endothelial",-0.84552772790255,"Control",NA,2.52343986964824,"Delayed"
"GSM6605431","Glandular_Epi",-0.438311731442056,"endometriosis","secretory",5.8495543974412,"Delayed"
"GSM6605432","Glandular_Epi",0.126180151595434,"endometriosis","proliferative",7.56414977263848,"In-phase"
"GSM6605433","Glandular_Epi",0.15417384557398,"endometriosis","proliferative",7.64917820205013,"In-phase"
"GSM6605434","Glandular_Epi",0.0516394692594616,"endometriosis","proliferative",7.33773888341614,"In-phase"
"GSM6605435","Glandular_Epi",-0.0455891357163932,"endometriosis","secretory",7.04241538729882,"In-phase"
