"gene","rho","p","padj"
"A1BG",-0.0413505583274493,0.870589608062597,0.924584721668536
"A1BG-AS1",-0.238560913427592,0.340423472051444,0.524495495517334
"A2M",0.518472385182633,0.0274953462421001,0.100092752090068
"A2M-AS1",-0.187667918563039,0.455841895497731,0.62717797292704
"A2ML1",-0.028627309611311,0.910222171117746,0.948239751554786
"A2ML1-AS1",0.368974212768009,0.131862150497344,0.285665309976164
"A4GALT",0.079520304475864,0.753785040534462,0.850409852569291
"AAAS",-0.429409644169666,0.0753426261257079,0.196859788305002
"AACS",0.50256832428746,0.0335353188992631,0.114138660908597
"AADAC",-0.133594111519451,0.59716613585191,0.740167977735187
"AADACL2",-0.197210355100143,0.432819772267149,0.607387350621748
"AADACL2-AS1",-0.407143958916424,0.0935577168136343,0.227069273769591
"AADAT",-0.877904161413538,1.68156363778782e-06,0.000574891816787841
"AAGAB",-0.0190848730742074,0.940084544711249,0.964751911659215
"AAK1",0.6902362428505,0.00152164992750264,0.0181109222163566
"AAMDC",-0.604354314016566,0.00789473085313483,0.0464799934937087
"AAMP",-0.127232487161382,0.614892896787343,0.753892985246784
"AAR2",0.14631736023559,0.562360757543833,0.712937245785863
"AARD",-0.10496680190814,0.678498032523199,0.799877377342599
"AARS",-0.302177157008283,0.22294494364337,0.401304946214996
"AARS2",-0.922435531920022,5.15392961552259e-08,6.81315135641316e-05
"AARSD1",-0.667970557597258,0.0024487113917738,0.0237784026383363
"AASDH",-0.750671674252156,0.000331354584875741,0.00799322392153415
"AASDHPPT",-0.451675329422907,0.0598829195873201,0.168452037522623
"AASS",-0.298996344829249,0.228095681279389,0.406919411973819
"AATF",0.626619999269808,0.00539075178200044,0.0370642222903215
"AATK",-0.0731586801177949,0.772972107313549,0.861711582387158
"ABAT",0.496206699929391,0.0362190339100176,0.120078117940435
"ABCA1",-0.0349889339693802,0.890374976756648,0.936617793851861
"ABCA10",-0.235380101248557,0.347092469256987,0.530933932955088
"ABCA12",-0.438952080706769,0.0683939898385508,0.184715939050481
"ABCA13",0.36261258840994,0.139175344457912,0.296233137103471
"ABCA2",0.10496680190814,0.678498032523199,0.799877377342599
"ABCA3",0.298996344829249,0.228095681279389,0.406919411973819
"ABCA4",0.155859796772693,0.536853795247363,0.694407952117415
"ABCA5",-0.178125482025935,0.479470083460464,0.647511563368353
"ABCA6",-0.400782334558354,0.0993015892550992,0.23629559742462
"ABCA7",0.470760202497115,0.0486351080191326,0.146563154545803
"ABCA8",-0.0731586801177949,0.772972107313549,0.861711582387158
"ABCA9",-0.206752791637246,0.410420123418682,0.58827675489873
"ABCA9-AS1",-0.426228831990631,0.0777703947153894,0.201477548577405
"ABCB1",0.333985278798629,0.175566555832454,0.346123407794962
"ABCB10",0.416686395453527,0.0853983160433788,0.213970584890594
"ABCB4",0.403963146737389,0.0963987855063674,0.231920834482621
"ABCB6",-0.276730659576007,0.266281116010187,0.448643746228736
"ABCB7",0.0858819288339331,0.734734237068356,0.838072088519813
"ABCB8",-0.0604354314016566,0.811714193149572,0.886315018500158
"ABCB9",-0.569365380047186,0.0136504850054704,0.0648479796774012
"ABCC1",0.594811877479463,0.00922126630123424,0.0513186891628331
"ABCC10",-0.244922537785661,0.327309843688235,0.51208986038299
"ABCC11",0.14631736023559,0.562360757543833,0.712937245785863
"ABCC2",0.0699778679387603,0.782613570424074,0.868067600153212
"ABCC3",0.620258374911739,0.0060287152723868,0.0394923670750439
"ABCC4",-0.21629522817435,0.388657522750105,0.569894995090721
"ABCC5",-0.470760202497115,0.0486351080191324,0.146563154545803
"ABCC6",-0.575727004405255,0.0124108071879096,0.06129362284659
"ABCC8",-0.159040608951728,0.5284700117571,0.687284833943172
"ABCC9",0.124051674982348,0.623833802161859,0.760295049973417
"ABCD1",-0.0699778679387603,0.782613570424074,0.868067600153212
"ABCD2",-0.0922435531920022,0.715829665482683,0.826300293215516
"ABCD3",-0.346708527514767,0.158678762915013,0.324108074767388
"ABCD4",0.295815532650214,0.233322285074124,0.413084606315607
"ABCE1",-0.00318081217903456,0.990005838297366,0.9918064855049
"ABCF1",0.079520304475864,0.753785040534462,0.850409852569291
"ABCF2",0.225837664711454,0.367544688108924,0.550041027963158
"ABCF3",-0.178125482025935,0.479470083460464,0.647511563368353
"ABCG1",0.00954243653710368,0.970023176523772,0.981957809234729
"ABCG2",-0.359431776230905,0.142935587138887,0.301197636278108
"ABCG5",-0.461217765960011,0.0540390782118583,0.157117431358202
"ABHD10",-0.563003755689117,0.0149867497852164,0.0683154624117372
"ABHD11",-0.0604354314016566,0.811714193149572,0.886315018500158
"ABHD12",0.152678984593659,0.545297428559179,0.700940147212496
"ABHD12B",-0.133594111519451,0.59716613585191,0.740167977735187
"ABHD13",-0.050892994864553,0.841051573716376,0.905435238352898
"ABHD14A",0.143136548056555,0.570978659303129,0.719492617903008
"ABHD14B",-0.11132842626621,0.660089809005101,0.785649509169397
"ABHD15",0.400782334558354,0.0993015892550991,0.23629559742462
"ABHD15-AS1",0.53755725825684,0.0214032799271422,0.085187803628122
"ABHD16A",0.534376446077806,0.0223371497884152,0.0874133300087793
"ABHD17A",0.194029542921108,0.440425422337527,0.613544730892991
"ABHD17B",0.706140303745672,0.00105597765592529,0.0146528907903028
"ABHD17C",0.461217765960011,0.0540390782118582,0.157117431358202
"ABHD18",0.534376446077806,0.0223371497884152,0.0874133300087793
"ABHD2",0.356250964051871,0.146765583697146,0.306693514504237
"ABHD3",0.569365380047186,0.0136504850054704,0.0648479796774012
"ABHD4",0.289453908292145,0.244003604450245,0.424863669884431
"ABHD5",0.368974212768009,0.131862150497344,0.285665309976164
"ABHD6",-0.0222656852532419,0.930120073215297,0.96029110339405
"ABHD8",-0.410324771095458,0.0907777271361468,0.222886521964172
"ABI1",0.674332181955327,0.00214599619813779,0.022139936843327
"ABI2",-0.46757939031808,0.0503888180640493,0.149978966285205
"ABI3",0.534376446077806,0.0223371497884152,0.0874133300087793
"ABI3BP",0.197210355100143,0.432819772267149,0.607387350621748
