parameter	value	source_script	source_code_line	script_sha256	version_status	source_sha256
correlation_type	Pearson	scripts/historical/implantation_failure_atlas_heca_upgrade.R	106; R cor() default method	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
normalization	library size to 10000 followed by log1p	scripts/historical/implantation_failure_atlas_heca_upgrade.R	94-100	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
duplicate_gene_rule	make.unique(feature names)	scripts/historical/implantation_failure_atlas_heca_upgrade.R	89	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
tie_rule	"max.col(cors, ties.method=""first"")"	scripts/historical/implantation_failure_atlas_heca_upgrade.R	108	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
cell_assignment_min_cor	0.03	scripts/historical/implantation_failure_atlas_heca_upgrade.R	102;111	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
below_cutoff_label	Unknown	scripts/historical/implantation_failure_atlas_heca_upgrade.R	111	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
minimum_shared_genes	No explicit numeric guard; common=intersect(reference genes, matrix genes)	scripts/historical/implantation_failure_atlas_heca_upgrade.R	103-105	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
target_gene_rule	unique(c(selected_genes, late_genes, early_genes))	scripts/historical/implantation_failure_atlas_heca_upgrade.R	162	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
broad_states	Luminal_Epi; Glandular_Epi; Stroma; Decidual_Stroma; Endothelial; Lymphoid; Myeloid	scripts/historical/implantation_failure_atlas_heca_reference.py	reference mapping block; centroid table header	86ec249e4a86a75f65f0d123fcb0d28650b8c6705bae5914f7fcd1c4ab53f7d3	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
cell_assignment_unit	cell/barcode	scripts/historical/implantation_failure_atlas_heca_upgrade.R	102-117	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
aggregation_unit	sample × assigned broad state	scripts/historical/implantation_failure_atlas_heca_upgrade.R	120-130; 301-320	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
celltype_model_criteria	nrow(df) >= 5 and length(unique(df$day)) >= 3	scripts/historical/implantation_failure_atlas_heca_upgrade.R	350-352	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
global_fallback_formula	lm(day ~ receptivity_score, data=fertile_ref)	scripts/historical/implantation_failure_atlas_heca_upgrade.R	353;356	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
unknown_exclusion_rule	exclude Unknown from celltype timing-score loop	scripts/historical/implantation_failure_atlas_heca_upgrade.R	301-303	1b4fe759399bdd0180c79b94ca37b70406ce2894194638f7de895dd5313f8c72	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
sample_level_thresholds	0; 0.45; 0.50; 0.55	scripts/historical/implantation_failure_atlas_statistical_extensions.R	167;212-223	e0d4083718099e952c580318cfbf1870a5a92efbe7c0919fc917b81542db6d00	Recovered and version-matched historical parameter	fa44e56cdd9ed8b85b13ab35352bd5ae9bd6ed10e26a8c081e1ece9edf791f0b
