broad_celltype,stage_simple,n_cells
Decidual_Stroma,Hormones,5975
Decidual_Stroma,Menstrual,333
Decidual_Stroma,Proliferative,2865
Decidual_Stroma,Secretory_Early,14710
Decidual_Stroma,Secretory_EarlyMid,13551
Decidual_Stroma,Secretory_Late,864
Decidual_Stroma,Secretory_Mid,34505
Endothelial,Hormones,3348
Endothelial,Menstrual,338
Endothelial,Proliferative,8116
Endothelial,Secretory_Early,1671
Endothelial,Secretory_EarlyMid,2149
Endothelial,Secretory_Late,283
Endothelial,Secretory_Mid,1738
Glandular_Epi,Hormones,893
Glandular_Epi,Menstrual,102
Glandular_Epi,Proliferative,1789
Glandular_Epi,Secretory_Early,9632
Glandular_Epi,Secretory_EarlyMid,9832
Glandular_Epi,Secretory_Late,1515
Glandular_Epi,Secretory_Mid,14973
Luminal_Epi,Hormones,203
Luminal_Epi,Menstrual,35
Luminal_Epi,Proliferative,13367
Luminal_Epi,Secretory_Early,722
Luminal_Epi,Secretory_EarlyMid,9784
Luminal_Epi,Secretory_Late,4
Luminal_Epi,Secretory_Mid,308
Lymphoid,Hormones,4278
Lymphoid,Menstrual,3098
Lymphoid,Proliferative,16148
Lymphoid,Secretory_Early,4032
Lymphoid,Secretory_EarlyMid,1406
Lymphoid,Secretory_Late,327
Lymphoid,Secretory_Mid,5167
Myeloid,Hormones,3152
Myeloid,Menstrual,2961
Myeloid,Proliferative,4018
Myeloid,Secretory_Early,421
Myeloid,Secretory_EarlyMid,289
Myeloid,Secretory_Late,51
Myeloid,Secretory_Mid,368
Stroma,Hormones,6969
Stroma,Menstrual,2557
Stroma,Proliferative,63859
Stroma,Secretory_Early,8115
Stroma,Secretory_EarlyMid,2610
Stroma,Secretory_Late,301
Stroma,Secretory_Mid,2391
