"dataset","celltype","mean_cor"
"GSE179640","Luminal_Epi",0.549409897427503
"GSE179640","Glandular_Epi",0.452720303817102
"GSE179640","Stroma",0.612399709090811
"GSE179640","Decidual_Stroma",0.615210052150154
"GSE179640","Endothelial",0.512573390587647
"GSE179640","Lymphoid",0.529592583136018
"GSE179640","Myeloid",0.60459332336257
"GSE213216","Luminal_Epi",0.370563135284764
"GSE213216","Glandular_Epi",0.281513963875584
"GSE213216","Stroma",0.530969442568588
"GSE213216","Decidual_Stroma",0.580786411594856
"GSE213216","Endothelial",0.397535179357466
"GSE213216","Lymphoid",0.470037337176032
"GSE213216","Myeloid",0.470323766996887
"GSE214411","Luminal_Epi",0.685591837178918
"GSE214411","Glandular_Epi",0.436526154875082
"GSE214411","Stroma",0.747643663301348
"GSE214411","Decidual_Stroma",0.603104955436086
"GSE214411","Endothelial",0.631788237086292
"GSE214411","Lymphoid",0.623602636124467
"GSE214411","Myeloid",0.592873009250443
"GSE250130","Luminal_Epi",0.492951558758884
"GSE250130","Glandular_Epi",0.44866165402193
"GSE250130","Stroma",0.555826067128185
"GSE250130","Decidual_Stroma",0.708960851767106
"GSE250130","Endothelial",0.401204707347133
"GSE250130","Lymphoid",0.647211213798334
"GSE250130","Myeloid",0.571835964090059
