module	arm	gene	rank	direction	source_dataset_or_table	selection_rule	scoring_rule	source_script	source_script_sha256	version_status	source_sha256
fertile_80	early	AMOT	1	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	CYP4A22-AS1	2	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	AC092422.1	3	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	ESR1	4	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	PIP5K1B	5	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	CPNE4	6	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	BVES-AS1	7	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	KDM4A	8	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	SYT2	9	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	TTC8	10	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	AARS2	11	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
fertile_80	early	WFDC8	12	early	analysis/03_rif/round5_maximal/tables/receptivity_signature_genes_round5.csv	round5 exported early_genes column	row-wise z-score; mean(intersect(up, expression rows)) - mean(intersect(down, expression rows)); missing genes excluded	scripts/historical/implantation_failure_atlas_final_isolated.R	c70259c085c93161551cec46dc255e9041e02dce8257570ac544284721685a78	Recovered and version-matched historical membership	e1cd1d6020cc9697bc3be6765f4f6ebd0a6bba5467c5afc25bd4b10fb4bca83f
