"early_genes","late_genes"
"AMOT","GADD45A"
"CYP4A22-AS1","LRP8"
"AC092422.1","SPON1-AS1"
"ESR1","HAS3"
"PIP5K1B","SLCO4A1"
"CPNE4","KIAA0930"
"BVES-AS1","DPP9"
"KDM4A","TSPAN8"
"SYT2","TCN1"
"TTC8","MYH9"
"AARS2","SPCS3"
"WFDC8","GLUD1"
"GPM6B","AC134312.4"
"REPS2","GPX3"
"ZBTB8B","RRAS2"
"AC242426.2","ADGRF1"
"HEYL","TMED5"
"PHACTR3","ELF4"
"PLEKHG4B","ERP44"
"AC092844.1","LAMA4"
"NFIA","LAMB3"
"BAIAP2-DT","NAA50"
"LINC01535","COMP"
"GREB1","GCNA"
"RGS7BP","MIR4435-2HG"
"ZNF625","XCR1"
"AL022151.1","MLPH"
"LIPE-AS1","CMTM6"
"PLPPR5","ARC"
"AC007923.4","ZCCHC2"
"EMILIN3","TEX29"
"GLYATL2","IGFBP1"
"THNSL1","KPNA4"
"TMEM144","PISD"
"VLDLR-AS1","TLNRD1"
"AC107068.1","TMEM92"
"EDN3","BHLHE40"
"SLC35B3","ELL2"
"WNK4","PPP2R5A"
"AC142472.1","TRNP1"
