"sample","celltype","receptivity_score","group","day","pred_day","timing_state"
"endometrium, RIF_1, rep1","Decidual_Stroma",-0.414589027565847,"RIF",NA,5.34936915162297,"Delayed"
"endometrium, RIF_6, rep6","Decidual_Stroma",-0.000182854334455085,"RIF",NA,6.8837769346324,"In-phase"
"endometrium, LH7_PGT_1, rep1","Decidual_Stroma",-0.271461463616693,"Fertile_LH7",7,5.87932276301412,"Delayed"
"endometrium, LH7_PGT_2, rep2","Decidual_Stroma",0.264716040686056,"Fertile_LH7",7,7.86460915308276,"In-phase"
"endometrium, RIF_7, rep7","Decidual_Stroma",-0.251895240971235,"RIF",NA,5.95176995673515,"Delayed"
"endometrium, RIF_2, rep2","Decidual_Stroma",-0.501109884349665,"RIF",NA,5.02901128869218,"Delayed"
"endometrium, LH7_1, rep1","Decidual_Stroma",-0.0459605050089031,"Fertile_LH7",7,6.71427756898579,"In-phase"
"endometrium, LH7_PGT_3, rep3","Decidual_Stroma",-0.121005338377716,"Fertile_LH7",7,6.43641159151287,"Delayed"
"endometrium, LH7_2, rep2","Decidual_Stroma",-0.225760532270976,"Fertile_LH7",7,6.04853806258566,"Delayed"
"endometrium, LH5_1, rep1","Decidual_Stroma",-0.487990179333619,"LH5",5,5.07758917866528,"Delayed"
"endometrium, LH5_2, rep2","Decidual_Stroma",-0.12400737127087,"LH5",5,6.42529606540913,"Delayed"
"endometrium, LH7_3, rep3","Decidual_Stroma",0.0872850915894546,"Fertile_LH7",7,7.20764155263015,"In-phase"
"endometrium, LH9_1, rep1","Decidual_Stroma",0.589460120726047,"LH9",9,9.0670281228923,"Advanced"
"endometrium, RIF_3, rep3","Decidual_Stroma",-0.201122519430008,"RIF",NA,6.13976440307736,"Delayed"
"endometrium, LH9_2, rep2","Decidual_Stroma",0.50607191831643,"LH9",9,8.7582694338246,"Advanced"
"endometrium, LH5_3, rep3","Decidual_Stroma",-0.742083187937141,"LH5",5,4.13676755197627,"Delayed"
"endometrium, LH9_3, rep3","Decidual_Stroma",0.241223938226708,"LH9",9,7.77762573637398,"In-phase"
"endometrium, LH11_1, rep1","Decidual_Stroma",1.53619544391069,"LH11",11,12.5724731239091,"Advanced"
"endometrium, LH3_1, rep1","Decidual_Stroma",-0.660782991469914,"LH3",3,4.43779505175208,"Delayed"
"endometrium, LH3_2, rep2","Decidual_Stroma",-1.02359965845045,"LH3",3,3.09440599632501,"Delayed"
