"program","contrast","mean_delta","control_mean_delta","rif_mean_delta","same_direction_sections","n_sections","signflip_p","fdr","consistency"
"IFN_program","joint_niche_vs_other",-0.0307140522374038,-0.0196683487316672,-0.0417597557431404,8,8,0.0078125,0.0328125,"8/8 sections"
"Chemokine_receptors","joint_niche_vs_other",-0.0124068200730714,-0.00878578031397713,-0.0160278598321657,8,8,0.0078125,0.0328125,"8/8 sections"
"TGFB_VEGF_axis","joint_niche_vs_other",-0.0444134409000541,-0.0569845871694073,-0.0318422946307009,7,8,0.015625,0.0364583333333333,"7/8 sections"
"CXCL_ligands","joint_niche_vs_other",-0.0306851618517013,-0.0327052906123764,-0.0286650330910262,7,8,0.0234375,0.0378605769230769,"7/8 sections"
"TNF_IL1_program","joint_niche_vs_other",-0.0291704325036543,-0.0254108834127645,-0.0329299815945442,7,8,0.0234375,0.0378605769230769,"7/8 sections"
"CCL_ligands","joint_niche_vs_other",-0.00474746406822503,-0.00258305010349466,-0.0069118780329554,5,8,0.1484375,0.183363970588235,"5/8 sections"
"MMP_ECM_axis","joint_niche_vs_other",-0.0160344824114414,-0.0458555303761766,0.0137865655532939,5,8,0.546875,0.546875,"5/8 sections"
"CCL_ligands","immune_high_vs_other",0.00859820069927299,0.011086472134018,0.00610992926452801,8,8,0.0078125,0.0328125,"8/8 sections"
"IFN_program","immune_high_vs_other",-0.0166482804691722,-0.00642748700461403,-0.0268690739337304,7,8,0.015625,0.0364583333333333,"7/8 sections"
"Chemokine_receptors","immune_high_vs_other",-0.00662556321291304,-0.0033489767590655,-0.00990214966676058,7,8,0.0234375,0.0378605769230769,"7/8 sections"
"CXCL_ligands","immune_high_vs_other",-0.0216574910142696,-0.0225540597674459,-0.0207609222610933,7,8,0.046875,0.0703125,"7/8 sections"
"MMP_ECM_axis","immune_high_vs_other",0.0389684269558313,0.00284616771759016,0.0750906861940724,5,8,0.1796875,0.209635416666667,"5/8 sections"
"TNF_IL1_program","immune_high_vs_other",-0.0104801854972859,-0.00068460184129647,-0.0202757691532754,5,8,0.203125,0.224506578947368,"5/8 sections"
"TGFB_VEGF_axis","immune_high_vs_other",-0.00682696410735161,-0.00761667911973818,-0.00603724909496505,6,8,0.3984375,0.418359375,"6/8 sections"
"TGFB_VEGF_axis","receptivity_low_vs_other",-0.0371930660835519,-0.0453367557658189,-0.029049376401285,8,8,0.0078125,0.0328125,"8/8 sections"
"Chemokine_receptors","receptivity_low_vs_other",-0.00965866792992084,-0.00833967058773495,-0.0109776652721067,8,8,0.0078125,0.0328125,"8/8 sections"
"CXCL_ligands","receptivity_low_vs_other",-0.0281958243707743,-0.0248298834931593,-0.0315617652483894,7,8,0.015625,0.0364583333333333,"7/8 sections"
"IFN_program","receptivity_low_vs_other",-0.0161948074652614,-0.0148597031948787,-0.0175299117356442,7,8,0.015625,0.0364583333333333,"7/8 sections"
"TNF_IL1_program","receptivity_low_vs_other",-0.024662805775025,-0.0275904956430601,-0.02173511590699,7,8,0.0234375,0.0378605769230769,"7/8 sections"
"MMP_ECM_axis","receptivity_low_vs_other",-0.0371177702251935,-0.05061183168869,-0.0236237087616969,7,8,0.0625,0.08203125,"7/8 sections"
"CCL_ligands","receptivity_low_vs_other",-0.0058722266542603,-0.00576348719158326,-0.00598096611693734,7,8,0.0625,0.08203125,"7/8 sections"
