dataset	n	available_early_n	available_late_n	median_abs_day_change	max_abs_day_change	category_change_fraction	old_median_abs_day_change	old_category_change_fraction
GSE111974	48	30	37	0.0103357101445356	0.0432329666511606	0	3.17280853601427	0.833333333333333
GSE135485	58	32	39	0.0121769407937253	0.0217740079538444	0	0.835746339341825	0.327586206896552
GSE157718	6	31	38	0.00740917991305068	0.0212904990811467	0	0.458602547123055	0.166666666666667
GSE179640	33	40	40	8.88178419700125e-16	3.5527136788005e-15	0	1.0745844881897	0.363636363636364
GSE190580	22	31	38	0.00844017454595525	0.0258223636546173	0	1.45162547421452	0.5
GSE213216	45	40	40	8.88178419700125e-16	3.5527136788005e-15	0	0.75323519855856	0.244444444444444
GSE214411	13	32	36	0.00646398071530108	0.0305790821100018	0	1.99840171090702	0.846153846153846
GSE244236	57	31	38	0.0099727799278666	0.0234018926336148	0	1.60933373876685	0.543859649122807
GSE250130	28	40	40	3.5527136788005e-15	8.88178419700125e-15	0	2.37857025591331	0.678571428571429
GSE263897	60	27	37	0.0125363346723644	0.0160226704725837	0	0.357560473787535	0.0166666666666667
GSE58144	115	6	20	0.00935908108820183	0.0278927614175437	0.00869565217391304	1.17614024276035	0.426086956521739
GSE78851	8	28	37	0.00667902335548165	0.0115193655876382	0	0.52361608430976	0.375
