dataset	sample	group	original_score	matched_score	score_difference	original_projected_day	matched_projected_day	projected_day_difference	original_category	matched_category	category_changed	available_early_n	available_late_n
GSE111974	GSM3045867	Control	-1.3982981573983	-1.3982981573983	0	5.31367940505994	5.31699461925977	0.00331521419983272	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045868	Control	1.74968739715087	1.74968739715087	0	9.50538936873137	9.46657135936556	-0.0388180093658086	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045869	Control	1.59437288067904	1.59437288067904	0	9.29857984088682	9.26184058986729	-0.0367392510195259	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045870	Control	-0.884803873203216	-0.884803873203216	0	5.99742431749717	5.99386682878881	-0.00355748870835093	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045871	Control	-0.882794742899177	-0.882794742899177	0	6.00009958120719	5.99651520192554	-0.00358437928164257	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045872	Control	-0.389611351244631	-0.389611351244631	0	6.65679946146178	6.64661422403153	-0.0101852374302487	In-phase	In-phase	FALSE	30	37
GSE111974	GSM3045873	Control	1.45125392399434	1.45125392399434	0	9.10800934863708	9.07318562832568	-0.0348237203113992	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045874	Control	-0.65871096987128	-0.65871096987128	0	6.29847902667216	6.29189546853699	-0.00658355813517009	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045875	Control	-0.204592570535756	-0.204592570535756	0	6.90316179480952	6.89050023164132	-0.0126615631682059	In-phase	In-phase	FALSE	30	37
GSE111974	GSM3045876	Control	-1.08213010865545	-1.08213010865545	0	5.73467395447736	5.73375751676801	-0.00091643770935157	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045877	Control	-0.226645842417206	-0.226645842417206	0	6.87379669199212	6.86143029391233	-0.0123663980797915	In-phase	In-phase	FALSE	30	37
GSE111974	GSM3045878	Control	1.68563916923778	1.68563916923778	0	9.42010575149532	9.38214497551222	-0.0379607759830982	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045879	Control	-1.05204621366728	-1.05204621366728	0	5.77473225848886	5.77341317233932	-0.00131908614953691	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045880	Control	2.05225771316866	2.05225771316866	0	9.90827781481403	9.86541014812032	-0.0428676666937076	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045881	Control	1.61521449124643	1.61521449124643	0	9.32633155231002	9.28931335330224	-0.0370181990077807	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045882	Control	-0.920595607219587	-0.920595607219587	0	5.94976572266127	5.94668727717119	-0.00307844549008252	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045883	Control	-0.633247223279539	-0.633247223279539	0	6.33238535770559	6.32546098805481	-0.00692436965078169	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045884	Control	1.56465044502801	1.56465044502801	0	9.25900283918078	9.22266139876251	-0.0363414404182691	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045885	Control	-1.84413832005731	-1.84413832005731	0	4.72001954873627	4.72930197051134	0.00928242177507332	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045886	Control	1.15674262594334	1.15674262594334	0	8.71585191301282	8.68496998663547	-0.0308819263773508	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045887	Control	-0.666511264248266	-0.666511264248266	0	6.28809252041506	6.28161336286914	-0.00647915754591466	Delayed	Delayed	FALSE	30	37
GSE111974	GSM3045888	Control	0.561070142906543	0.561070142906543	0	7.92268236411767	7.89977302893071	-0.0229093351869567	In-phase	In-phase	FALSE	30	37
GSE111974	GSM3045889	Control	1.47737216033858	1.47737216033858	0	9.14278716753763	9.10761387589817	-0.0351732916394631	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045890	Control	2.07955111471295	2.07955111471295	0	9.94462042859456	9.9013874619434	-0.0432329666511606	Advanced	Advanced	FALSE	30	37
GSE111974	GSM3045891	RIF	1.51829752877407	1.51829752877407	0	9.1972814692634	9.16156042488876	-0.0357210443746396	Advanced	Advanced	FALSE	30	37
