dataset	disease	context	case_definition	control_definition	n_case	n_control	independent_unit	cluster_id	coverage	historical_score_difference	matched_score_difference	historical_projected_day_difference	matched_projected_day_difference	historical_variance	matched_variance	standardized_effect	ci_95	p_value	effect_direction	CI_crosses_zero	rank_score_difference	direction_consistent_across_scores	eligible_for_meta	exclusion_reason
GSE111974	RIF	RIF vs Control	RIF	Control	24	24	sample or pseudobulk	not available as structured donor ID	Moderate (30/37)	-0.511973818309131	-0.511973818309131	-0.681720331354134	-0.674867978643873	0.221170333740439	0.216746465739529	-0.414252141703205	-1.62863 to 0.26519	0.154030685807482	negative	TRUE	-1352.71296921922	TRUE	TRUE	
GSE250130	RIF	RIF vs Fertile LH7	RIF	Fertile_LH7	10	6	sample/pseudobulk	not available as structured donor ID	Complete (40/40)	0.38835274421143	0.38835274421143	0.517112305352785	0.517112305352784	0.288580908945189	0.288580908945188	0.415162919315604	-0.640948 to 1.67517	0.352943763575399	positive	TRUE	506.434583333333	TRUE	TRUE	
GSE135485	Endometriosis	Endometriosis vs healthy control	patient with endometriosis	healthy control	54	4	sample or pseudobulk	not available as structured donor ID	Moderate (32/39)	0.0857983029179387	0.0857983029179387	0.114244997308678	0.113576162939586	0.0455674461976845	0.045035469086055	0.175644977551506	-0.457411 to 0.685901	0.618388122801309	positive	TRUE	743.245496498102	TRUE	TRUE	
GSE179640	Endometriosis	Endometriosis eutopic vs control eutopic	Endo_Eutopic	Control_Eutopic	9	3	sample or pseudobulk	not available as structured donor ID	Complete (40/40)	-0.459146266796383	-0.459146266796383	-0.611377640704762	-0.611377640704757	0.215210844565546	0.215210844565544	-0.826023802607178	-1.919 to 0.696247	0.260432250053483	negative	TRUE	-1369.27222222222	TRUE	TRUE	
GSE213216	Endometriosis	Eutopic vs lesion	Eutopic	Lesion	9	28	sample or pseudobulk	not available as structured donor ID	Complete (40/40)	-0.179200866467562	-0.179200866467562	-0.238615471530716	-0.238615471530716	0.0553331731678486	0.0553331731678479	-0.526418126838959	-0.766299 to 0.289068	0.335467339698666	negative	TRUE	-1498.51106150794	TRUE	TRUE	
GSE214411	Endometriosis	Endometriosis vs control	endometriosis	Control	6	7	sample or pseudobulk	not available as structured donor ID	Moderate (32/36)	0.259456914994544	0.259456914994544	0.345480662754127	0.343414233343237	0.741033929475439	0.7321957229273	0.214296091997099	-1.56539 to 2.25636	0.696387087214397	positive	TRUE	350.003224206349	TRUE	TRUE	
GSE157718	Adenomyosis	Adenomyosis tissue/stromal	Adenomyosis	Control	3	3	sample or pseudobulk	not available as structured donor ID	Moderate (31/38)	-0.411980006798762	-0.411980006798762	-0.548573260393853	-0.543363636554797	0.263870705026082	0.258882712251542	-0.863673019110641	-2.41743 to 1.32029	0.379685400538307	negative	TRUE	-784.001273344652	TRUE	TRUE	
GSE190580	Adenomyosis	Adenomyosis tissue	Adenomyosis	Control	12	10	sample or pseudobulk	not available as structured donor ID	Moderate (31/38)	0.472963684241732	0.472963684241732	0.629776265912608	0.623795483244099	0.138842527928038	0.136217964030219	0.718961285997632	-0.149975 to 1.40953	0.107296448958466	positive	TRUE	997.775962082625	TRUE	TRUE	
GSE244236	Adenomyosis	Adenomyosis organoid	Adenomyosis	Control	30	27	sample or pseudobulk	not available as structured donor ID	Moderate (31/38)	0.619662653943655	0.619662653943655	0.825113735638689	0.817277895838493	0.0436190156918763	0.0427944780264238	1.0502377869913	0.405588 to 1.24464	0.000245562757676761	positive	FALSE	1500.65334842483	TRUE	TRUE	
GSE78851	Adenomyosis	Adenomyosis whole tissue	Adenomyosis	Control	3	5	sample or pseudobulk	not available as structured donor ID	Low (28/37)	0.148098910854796	0.148098910854796	0.197201565725683	0.195625312930397	0.192384155507843	0.189320953418284	0.428493852296211	-1.5696 to 1.96401	0.694301224583628	positive	TRUE	194.697007722008	TRUE	TRUE	
GSE263897	Endometriosis	GeoMx eutopic vs lesion	eutopic endometrium	endometriotic lesion	30	30	GeoMx ROI	sample_id cluster unavailable as patient	Low (27/37)	0.0311541503114911	0.0311541503114911	0.0414834058185809	0.041209109125389	0.0037438565144979	0.00369450992324378	0.17389536178241	-0.081003 to 0.16397	0.500489739412123	positive	TRUE	NA	TRUE	FALSE	ROI-level; no patient/donor identifier
GSE58144	RIF	External RIF ordering cohort	RIF	Control	43	72	sample or pseudobulk	not available as structured donor ID	Low (6/20)	0.0175894758585545	0.0175894758585545	0.0234213213289722	0.0230287718161328	0.0186992402253641	0.0180776814418741	0.034003583157868	-0.248922 to 0.295765	0.86446020330556	positive	TRUE	NA	TRUE	FALSE	External ordering validation only
